               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
225,0.53954,0.48456,1.1291,0.98663,0.97898,0.9988,0.95093,0.955717,0.43943,0.21399,1.0747,0.0011296,0.0011296,0.0011296
238,0.53783,0.48462,1.1293,0.98875,0.99202,0.99925,0.9503,0.955195,0.44483,0.21198,1.0779,0.0006148,0.0006148,0.0006148
233,0.53654,0.48557,1.1299,0.98482,0.99252,0.99939,0.95026,0.955173,0.44633,0.20791,1.0779,0.0008128,0.0008128,0.0008128
213,0.53635,0.49492,1.131,0.98588,0.99828,0.99954,0.94995,0.954909,0.4435,0.20708,1.0808,0.0016048,0.0016048,0.0016048
203,0.55084,0.52406,1.1413,0.98422,0.99601,0.99952,0.94982,0.95479,0.44851,0.20992,1.0817,0.0020008,0.0020008,0.0020008
249,0.52879,0.46911,1.1264,0.9719,0.99556,0.99869,0.9499,0.954779,0.44273,0.2089,1.0773,0.0001792,0.0001792,0.0001792
227,0.53685,0.48968,1.1249,0.96706,0.98524,0.9981,0.94966,0.954504,0.44161,0.22674,1.0757,0.0010504,0.0010504,0.0010504
226,0.54645,0.50486,1.1289,0.97549,0.99283,0.9988,0.94956,0.954484,0.43858,0.21605,1.0748,0.00109,0.00109,0.00109
210,0.55169,0.52083,1.1368,0.99004,0.98898,0.99927,0.9495,0.954477,0.44527,0.21285,1.0784,0.0017236,0.0017236,0.0017236
234,0.52782,0.48428,1.1261,0.96915,0.99802,0.99854,0.94953,0.954431,0.44869,0.2144,1.0792,0.0007732,0.0007732,0.0007732
214,0.54846,0.50263,1.1337,0.98093,0.99377,0.99926,0.94936,0.95435,0.43857,0.20947,1.0781,0.0015652,0.0015652,0.0015652
242,0.53684,0.49094,1.1293,0.98711,0.99433,0.99952,0.94907,0.954115,0.44104,0.20545,1.0775,0.0004564,0.0004564,0.0004564
193,0.55476,0.52523,1.1391,0.98934,0.97664,0.99878,0.94912,0.954086,0.44451,0.21295,1.0788,0.0023968,0.0023968,0.0023968
232,0.53049,0.48552,1.1289,0.98674,0.98929,0.99977,0.94898,0.954059,0.44965,0.20816,1.081,0.0008524,0.0008524,0.0008524
208,0.54639,0.50402,1.1313,0.98499,0.99793,0.99908,0.9489,0.953918,0.4515,0.21314,1.0852,0.0018028,0.0018028,0.0018028
231,0.53402,0.48457,1.1324,0.99033,0.99814,0.99977,0.9487,0.953807,0.45069,0.20312,1.0819,0.000892,0.000892,0.000892
229,0.54198,0.4967,1.1324,0.98796,0.98679,0.99882,0.9485,0.953532,0.44552,0.21223,1.0784,0.0009712,0.0009712,0.0009712
228,0.52617,0.48001,1.1293,0.9808,0.98353,0.99857,0.94849,0.953498,0.44358,0.21584,1.0779,0.0010108,0.0010108,0.0010108
