               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
221,0.54018,0.50465,1.1316,0.99655,0.99442,1,0.95153,0.956377,0.48236,0.2017,1.0758,0.001288,0.001288,0.001288
181,0.56373,0.53361,1.1353,0.98338,0.99778,0.99967,0.95064,0.955543,0.49499,0.2188,1.0673,0.002872,0.002872,0.002872
192,0.55907,0.53408,1.1427,0.99799,0.98385,0.99971,0.95046,0.955385,0.48121,0.22694,1.0793,0.0024364,0.0024364,0.0024364
234,0.52621,0.48603,1.1238,0.99708,0.99513,1,0.95031,0.955279,0.4829,0.19279,1.0681,0.0007732,0.0007732,0.0007732
223,0.54156,0.49594,1.1293,0.98501,0.99504,1,0.9503,0.95527,0.48098,0.20994,1.0731,0.0012088,0.0012088,0.0012088
220,0.54509,0.4927,1.1315,0.99621,0.99615,1,0.95014,0.955126,0.47241,0.21319,1.0682,0.0013276,0.0013276,0.0013276
187,0.56306,0.53693,1.1435,0.99662,0.99884,1,0.94999,0.954991,0.48461,0.22033,1.0707,0.0026344,0.0026344,0.0026344
225,0.53816,0.47927,1.1301,0.9952,0.99536,1,0.94966,0.954694,0.4819,0.19872,1.0711,0.0011296,0.0011296,0.0011296
219,0.53873,0.50397,1.1349,0.99564,0.99473,1,0.94937,0.954433,0.46508,0.20342,1.0626,0.0013672,0.0013672,0.0013672
198,0.55511,0.51665,1.1305,0.99143,0.98684,0.9997,0.94917,0.954223,0.47488,0.2144,1.0731,0.0021988,0.0021988,0.0021988
176,0.56592,0.5443,1.1338,0.97633,0.9862,0.99975,0.94914,0.954201,0.48209,0.22603,1.0689,0.00307,0.00307,0.00307
152,0.57621,0.55055,1.1318,0.96255,0.98524,0.99665,0.94906,0.953819,0.45612,0.23429,1.0554,0.0040204,0.0040204,0.0040204
227,0.53393,0.48023,1.1226,0.9953,0.99475,1,0.94865,0.953785,0.48128,0.19757,1.0724,0.0010504,0.0010504,0.0010504
191,0.55706,0.5237,1.138,0.99356,0.99759,1,0.94859,0.953731,0.46592,0.20528,1.0664,0.002476,0.002476,0.002476
228,0.53052,0.47115,1.1271,0.99588,0.99636,1,0.94859,0.953731,0.48345,0.19665,1.0722,0.0010108,0.0010108,0.0010108
197,0.55401,0.51088,1.1371,0.99182,0.99675,1,0.94856,0.953704,0.47839,0.2195,1.079,0.0022384,0.0022384,0.0022384
238,0.53273,0.47388,1.1235,0.99738,0.99439,1,0.94838,0.953542,0.47841,0.20593,1.0673,0.0006148,0.0006148,0.0006148
243,0.52604,0.46569,1.1245,0.99445,0.99371,1,0.94828,0.953452,0.48184,0.2021,1.0691,0.0004168,0.0004168,0.0004168
178,0.56974,0.54427,1.1429,0.99186,0.98206,0.99977,0.94824,0.953393,0.4996,0.22613,1.0845,0.0029908,0.0029908,0.0029908
218,0.54533,0.50559,1.1341,0.99466,0.98174,0.99955,0.94802,0.953173,0.46127,0.21216,1.0586,0.0014068,0.0014068,0.0014068
226,0.54526,0.49666,1.1322,0.99539,0.99363,1,0.94795,0.953155,0.48149,0.20255,1.0728,0.00109,0.00109,0.00109
237,0.5368,0.49478,1.1284,0.99659,0.9962,1,0.94789,0.953101,0.47621,0.20383,1.0635,0.0006544,0.0006544,0.0006544
235,0.53025,0.46596,1.1271,0.99768,0.99684,1,0.94777,0.952993,0.48492,0.19381,1.0669,0.0007336,0.0007336,0.0007336
193,0.55544,0.51725,1.1373,0.99005,0.99462,1,0.94772,0.952948,0.48387,0.21157,1.074,0.0023968,0.0023968,0.0023968
236,0.53225,0.47678,1.1291,0.99751,0.99692,1,0.94772,0.952948,0.47743,0.19438,1.0632,0.000694,0.000694,0.000694
190,0.56132,0.52803,1.1405,0.97604,0.99842,0.9994,0.94774,0.952906,0.46763,0.21788,1.0623,0.0025156,0.0025156,0.0025156
229,0.53992,0.48895,1.1311,0.99682,0.9942,1,0.94766,0.952894,0.4835,0.19632,1.0698,0.0009712,0.0009712,0.0009712
233,0.53126,0.48279,1.1263,0.99656,0.99446,1,0.94764,0.952876,0.48108,0.19627,1.0697,0.0008128,0.0008128,0.0008128
222,0.53701,0.5016,1.1349,0.99302,0.99606,1,0.94751,0.952759,0.47751,0.20653,1.07,0.0012484,0.0012484,0.0012484
214,0.547,0.5023,1.1305,0.99653,0.99396,1,0.94749,0.952741,0.46979,0.23637,1.0675,0.0015652,0.0015652,0.0015652
188,0.56118,0.52392,1.1352,0.99596,0.99246,0.99953,0.9472,0.952433,0.48442,0.21282,1.0706,0.0025948,0.0025948,0.0025948
162,0.57841,0.55535,1.1484,0.99471,0.99312,0.99928,0.94708,0.9523,0.50065,0.23063,1.079,0.0036244,0.0036244,0.0036244
199,0.55297,0.51885,1.1396,0.98985,0.99298,0.9994,0.94706,0.952294,0.47243,0.21321,1.0701,0.0021592,0.0021592,0.0021592
244,0.52683,0.47208,1.1267,0.99522,0.99431,1,0.94696,0.952264,0.4837,0.19888,1.07,0.0003772,0.0003772,0.0003772
189,0.56058,0.53644,1.1376,0.99487,0.98703,0.9997,0.94687,0.952153,0.479,0.2122,1.0695,0.0025552,0.0025552,0.0025552
179,0.55976,0.52801,1.1365,0.97079,0.99026,0.99952,0.94688,0.952144,0.47178,0.23816,1.0558,0.0029512,0.0029512,0.0029512
239,0.53726,0.4996,1.1306,0.99698,0.99465,1,0.94682,0.952138,0.48037,0.1963,1.0675,0.0005752,0.0005752,0.0005752
240,0.52232,0.46312,1.1222,0.99667,0.9941,1,0.94665,0.951985,0.48262,0.20166,1.0723,0.0005356,0.0005356,0.0005356
224,0.54371,0.4947,1.1254,0.98926,0.99041,1,0.94657,0.951913,0.48463,0.21261,1.076,0.0011692,0.0011692,0.0011692
245,0.53499,0.46894,1.1396,0.99576,0.9943,1,0.94656,0.951904,0.48428,0.20896,1.0708,0.0003376,0.0003376,0.0003376
180,0.55484,0.53858,1.1413,0.99218,0.98893,1,0.94649,0.951841,0.49584,0.21671,1.0783,0.0029116,0.0029116,0.0029116
248,0.52687,0.48193,1.1282,0.99652,0.99344,1,0.94648,0.951832,0.47964,0.21235,1.068,0.0002188,0.0002188,0.0002188
161,0.58327,0.5645,1.1401,0.98739,0.98699,0.99898,0.94653,0.951775,0.49866,0.23394,1.079,0.003664,0.003664,0.003664
230,0.53234,0.47831,1.1326,0.99712,0.99517,1,0.94639,0.951751,0.48255,0.19703,1.0685,0.0009316,0.0009316,0.0009316
249,0.53366,0.46343,1.1262,0.99564,0.99324,1,0.94614,0.951526,0.47975,0.20012,1.0684,0.0001792,0.0001792,0.0001792
216,0.54439,0.51206,1.1371,0.99038,0.98353,0.99983,0.946,0.951383,0.46499,0.21584,1.0625,0.001486,0.001486,0.001486
241,0.53494,0.4897,1.1334,0.99724,0.9944,1,0.94588,0.951292,0.48544,0.20533,1.0725,0.000496,0.000496,0.000496
182,0.55583,0.53222,1.14,0.99075,0.99379,1,0.9458,0.95122,0.48736,0.22344,1.0663,0.0028324,0.0028324,0.0028324
242,0.53261,0.47353,1.1246,0.99647,0.99399,1,0.94575,0.951175,0.48259,0.20327,1.0704,0.0004564,0.0004564,0.0004564
195,0.55362,0.51583,1.1311,0.99156,0.99779,1,0.94562,0.951058,0.48654,0.20926,1.0796,0.0023176,0.0023176,0.0023176
246,0.53635,0.47961,1.1335,0.99598,0.99415,1,0.94559,0.951031,0.48234,0.2156,1.0713,0.000298,0.000298,0.000298
194,0.54943,0.51688,1.1343,0.99607,0.99729,1,0.94554,0.950986,0.49457,0.21089,1.0851,0.0023572,0.0023572,0.0023572
